Phrase,Sentiment
wishin I could go to home depot to buy shit to build shit,0.0
"@ verizon I'm having great difficulty getting access to past bills. If I can't find what I need, then I'll give it a try.",0.0
"Please don't believe the rumors that I'm a ""Champions League player"" or ""ugly"" because I'm afraid I won't have a girlfriend at the time.",0.0
@PUBG PLEASE SORT OUT AND NEWS CRASHES!,0.0
Features Fix the errors in the new GTA Mark V updates,0.0
Disrespectful. â?Plain and deadly simple.,0.0
I thought the game was damn near done wtf going on,0.0
"Fucking hell, you those guys who are alrdy making a lots of honest money. That Greed is good.",0.0
"@ JukinMedia youtube.com / watch? v = j5Ms4g... @ mmoxreview @ TeamYouTube @ Google @ verified @ Twitter Well, we have all told you that we will shit you like lactose intolerants. We have warned you.",0.0
OMGGGG GUYS VERY BATHROOM NEW!! S!!!!!!,0.0
"APPARENTLY THE REASON WHY FACEBOOK 'FACT CHECKERS' HAVE CENSORED AN ACTUAL STATISTICAL FACT IS BECAUSE.... . ... TUBERCULOSIS, THE  FLU AND COVID-19 DIFFER IN DISEASE PREVALENCE REQUIRING DIFFERENT HEALTH RESPONSES.. . (... ""COMPLETE BOLL*CKS!!!""). .  ",0.0
It looks like Call of Duty: Black Ops Cold War has been leaked by a Doritos advertising campaign dlvr.it/RcQwY4 https://t.co/Mo0oIFkdBT,0.0
The feeling for Keenan is real,0.0
"@ NiklasAstrand Hey I was hoping you can help me, I reported a bug regarding the globetrotter on the battlefield v, but there has been no update about a fix or patch?",0.0
Dear @PUBG_Support and many time we got clicked just after landiAnd im rank is just crown v. How can i exploit hacker to increase my rank.please unblock my account.my is<unk> is -5384386010 2/2. @PUBGMOBILE. @PUBGMOBILE_IN,0.0
Tired: Hearthstone. Wired: pic.wikipedia.org / d54CFXhc,0.0
"@NBA2K so was still dribbling through my body, passing through my hole, hop stepping through everybody, and more bullshit has not been fixed BUTTTTTT OUT HERE WHAT YALL CAN THINK OF YOU NIGGAS WANNA TOUCH MY JUMPER????.",0.0
"Nerd Tweet: Iâm getting really disappointed with @PlayOverwatch one of my favourite heroes that I have played since day 1. I feel as like all they care about is esports. We still got a red hero, obviously, but a another cost. 2/2/2 I can kinda get behind. But let us open switch...",0.0
I know they were Chinese but i wish they ban it soon too.. That app is trash,0.0
Boys microsoft sadly they won the bidding war. I always didn't know Siny supported BTS. ( This shit is a joke that in a case your brain dead ),0.0
LEGO WWII Rotterdam Cathedral Still from,0.0
"At the same time, despite the fact that there are currently some 100 million people living below the poverty line, most of them do not have access to health services and do not have access to health care, while most of them do not have access to health care.",0.0
It is not the first time that the EU Commission has taken such a step.,0.0
@RockstarGames I legit can â?t open or set my fucking fucking camp I â?a m red Dead dead redemption you need to let gta die! me And fix rdr2!!! I IT PISSES ME YOU OFF THE THE ONE GAMES BEEN OUT FOR A YEAR I AND IS YOU YOU HAVNT DONE U SHIT!,0.0
Playing with Oscar at Fifa gives me grey hair,0.0
gta has to be one of the worst non violent crimes to experience like 1 canât imagine the wave of dread and stress of having someone smash your whole shit w the charger spare napkins and your everything just poof gone,0.0
"Mackay was burning with rage today, so he went to his home depot and let the wind blow over him with a feeling of deep despair. He checked his watch: 2: 22. ""That's shit,"" he screams. ""And now?""",0.0
FUCKING AMAZON QUE QUITO EL DOCENTAL DE DANIEL JOHNSTON.,0.0
@AmazonHelp hi Amazon I think youâve breached UK GDPR for selling my childâs data. Can your person contacting for data protection in the UK?,0.0
2 My League Championship of Legends started having FPS spikes two damn days ago. Is this a sign I should not stop playing?,0.0
"One of the centuries of terrorism and murder committed by Europeans against the African diaspora on all continents... Google to find sources about ""rubber terror"" and the ""Belgian genome in the Congo.""",0.0
Hey @valvesoftware @Steam why is @CSGO lag bad compared to @DOOM Multiplayer even when I lowered every setting? Virtually full round of Dust match had a moment (& two) when I became a statue.,0.0
"the ways ur ranked system works is HOW ATROCIOUS, HORRENDOUS, DISGUSTING, PERPLEXING, AND SO. CAN I ME IN GOLDS WHEN MY RANK IS BRONZE ONLY. HOW AM I SUPPOSED TO CLIMB THAT THAT'M GOING IN THAT ARENT MY RANK? @LeagueOfLegends",0.0
Hmmmm idk if we should trust them..they screwed with millions of women the first time around,0.0
Old lady really threatened like me and said like she was going to cancel her Verizon service because usually I told her what we dont work on psychic computers and you cant fix to it...... like bro [UNK],0.0
We are all getting lied to.,0.0
"Johnson & Johnson is about to enter phase 3 trials of a COVID vaccine that only works in one dose, they claim.. . Remember how J&J was found guilty of having cancer causing baby powder?. . Ask yourself honestly: do you trust these Pharma companies? I donât ...",0.0
"Okay, Verizon has gone nuts. I paid my momâs RhandlerR bill online and got an email that it was past due several minutes after the one confirming the payment.  Very funny, guys. pic.twitter.com/bmk1NfLHp9",0.0
"strikers.futbol/noticias/VIDEO... I dont justify violence Shooting Threats, but this probably deserves Whatever is happening to soccer, this demands a Serious Investigation into FIFA and The Brazilian Federation. This unless done on television and without criminal intent.",0.0
New Apex update is Trash @ PlayApex,0.0
playing league of legends on your own must be one my worst ideas,0.0
<unk> I legit shit wait you set this fucking camp Iâm walking dead redemption you need to let gta die! And fix rdr2!!!I YOU PISSES ME OFF THE THAT GAMES THE OUT FOR A YEAR AND YOU DO DONE SHIT!,0.0
"Fifaâs auto defending is really terribly flawed, amateur level shit",0.0
